�ndice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo de alimentos,ALIMENTO,Grupo_de_alimentos_ALIMENTO,Cantidad sugerida,Unidad,Peso bruto (g),Peso neto (g),Energ�a (kcal),Prote�na (g),L�pidos (g),Hidratos de carbono (g),AG saturados (g),AG monoinsaturados (g),AG poli insaturados (g),Colesterol (mg),Az�car (g),Fibra (g),Vitamina A (mg RE),Acido Asc�rbico (mg),�cido F�lico (mg),Calcio (mg),Hierro (mg),Potasio (mg),Sodio (mg),F�sforo (mg),Etanol (g),IG,Carga glic�mica
Verduras,Acelga cocida,Verduras_Acelga cocida,1/2,taza,72,72,19,1.9,0.1,3.9,0.0,0.0,0.0,0.0,64.0,2.1,275.8,17.9,10.1,82.1,1.4,654.5,173.5,29.5,0.0,3.0,ND
Verduras,Acelga cruda,Verduras_Acelga cruda,2,taza,120,98,22,2.2,0.1,4.3,0.0,0.0,0.0,0.0,64.0,3.6,310.9,29.5,14.8,115.1,2.5,749.8,222.4,40.3,0.0,3.0,ND
Verduras,Alcachofa mediana cocida,Verduras_Alcachofa mediana cocida,1,pieza,120,48,25,1.4,0.2,5.7,0.0,0.0,0.0,0.0,ND,4.1,0.5,3.6,42.7,10.1,0.3,137.3,28.8,35.0,0.0,ND,ND
Verduras,Alfalfa,Verduras_Alfalfa,3 1/2,taza,116,116,27,4.6,0.8,2.4,0.1,0.1,0.5,0.0,0.2,0.2,9.2,9.5,ND,37.0,1.1,ND,6.9,ND,0.0,ND,ND
Verduras,Alga Nori,Verduras_Alga Nori,10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,ND,40.0,0.7,ND,12.0,ND,0.0,ND,ND
Verduras,Alga para sushl,Verduras_Alga para sushl,10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,ND,40.0,0.7,ND,12.0,ND,0.0,ND,ND
Verduras,Apio cocido,Verduras_Apio cocido,1/2,taza,75,75,14,0.6,0.1,3.0,0.0,0.0,0.1,0.0,ND,1.2,19.5,4.6,16.5,31.5,0.3,213.0,68.3,18.8,0.0,ND,ND
Verduras,Apio crudo,Verduras_Apio crudo,1,taza,101,90,14,0.6,0.2,2.7,0.0,0.0,0.1,0.0,ND,2.5,19.8,2.8,32.4,36.0,0.2,233.7,71.9,21.6,0.0,ND,ND
Verduras,Ar�gula cruda,Verduras_Ar�gula cruda,4,taza,80,80,20,2.1,0.5,2.9,0.0,0.0,0.0,0.0,ND,3.5,95.2,12.0,77.6,129.6,1.2,295.2,21.6,41.6,0.0,ND,ND
Verduras,Berenjena cocida,Verduras_Berenjena cocida,1,taza,99,99,35,0.8,0.2,8.6,0.0,0.0,0.0,0.0,ND,2.5,2.0,1.3,13.9,6.2,0.4,245.4,2.1,22.7,0.0,ND,ND
Verduras,Berro crudo,Verduras_Berro crudo,2,taza,68,56,34,1.3,0.1,0.7,0.0,0.0,0.0,0.0,ND,0.3,46.3,6.7,35.7,32.9,1.2,100.4,11.2,19.5,0.0,ND,ND
Verduras,Betabel crudo,Verduras_Betabel crudo,1/4,pieza,43,39,19,0.8,0.1,4.3,0.0,0.0,0.0,0.0,ND,0.3,0.8,7.8,36.4,8.2,0.6,131.0,23.5,7.4,0.0,ND,ND
